,Mercurialis perennis,,
,Poa nemoralis,,
,Galium aparine,,
,Crataegus monogyna,,
,Sambucus nigra,,
,Rumex sanguineus,,
,Ranunculus repens,,
,Mentha aquatica,,
,Ranunculus ficaria,,
,Carex acutiformis,,
,Viola odorata,,
,Caltha palustris,,
,Lamium purpureum,,
,Angelica sylvestris,,
quadrat,45,,
waypoint,11,,
grid_reference,TL6769533236,,
photo_up,P2020021,,
photo_down,P2020022,,
wetness,1,,
canopy,95,,
species,Alnus cordata,,
,Mercurialis perennis,,
,Glechoma hederacea,,
,Galium aparine,,
,Sambucus nigra,,
,Hedera helix,,
,Urtica dioica,,
,Anthriscus sylvestris,,
,Kindbergia praelonga,,
,Arum maculatum,,
,Brachythecium rutabulum,,
quadrat,1,,
waypoint,12,,
grid_reference,TL6772333271,,
photo_up,P2020023,,
photo_down,P2020024,,
wetness,1,,
canopy,10,,
species,Oenanthe crocata,,
,Carex acutiformis,,
,Galium aparine,,
,Filipendula ulmaria,,
,Lychnis dioica,,
,Rumex sanguineus,,
,Holcus lanatus,,
,Arrhenatherum elatius,,
quadrat,63,,
waypoint,13,,
grid_reference,TL6769733272,,
photo_up,P2020025,,
photo_down,P2020026,,
wetness,2,,
canopy,0,,
species,Filipendula ulmaria,,
,Cirsium palustre,,
,Carex acutiformis,,
,Holcus lanatus,,
,Mentha aquatica,,
,Lotus corniculatus,,
,Ranunculus ficaria,,
,Primula vulgaris,,
,Geranium molle,,
,Juncus inflexus,,
,Arrhenatherum elatius,,
